City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Adamstown,-25.066,-130.1015,24.32,76,100,2.78,PN,1682029779
1,Edinburgh of the Seven Seas,-37.0676,-12.3116,20.0,95,100,12.46,SH,1682029779
2,Hawaiian Paradise Park,19.5933,-154.9731,28.35,78,0,3.6,US,1682029179
3,Walvis Bay,-22.9575,14.5053,15.61,87,0,5.86,NA,1682029780
4,Blackmans Bay,-43.0167,147.3167,16.07,77,100,3.04,AU,1682029780
5,Port Douglas,-16.4833,145.4667,25.99,72,26,8.25,AU,1682029780
6,Bethel,41.3712,-73.414,19.95,39,58,0.45,US,1682029509
7,Santa Ana,33.7456,-117.8678,31.63,37,40,4.63,US,1682029781
8,Udachny,66.4167,112.4,-18.14,100,97,1.36,RU,1682029231
9,Sinabang,2.4803,96.3801,26.68,83,82,2.33,ID,1682029781
10,Callao,-12.0667,-77.15,25.16,69,0,6.69,PE,1682029247
11,Puerto Natales,-51.7236,-72.4875,8.48,88,93,0.54,CL,1682029026
12,Avarua,-21.2078,-159.775,26.03,73,75,2.57,CK,1682028917
13,Leava,-14.3,-178.1667,27.99,76,27,3.32,WF,1682029196
14,Bilibino,68.0546,166.4372,-3.14,70,29,1.0,RU,1682029782
15,Lipovtsy,44.2014,131.7244,3.66,19,32,7.01,RU,1682029783
16,Gonder,12.6,37.4667,18.69,17,0,2.43,ET,1682029783
17,Waitangi,-43.9535,-176.5597,17.68,93,100,2.24,NZ,1682029783
18,Changzhi,35.2089,111.7386,9.22,83,100,3.34,CN,1682029784
19,Wailua Homesteads,22.0669,-159.378,26.24,68,0,3.09,US,1682029784
20,Dongfeng,42.6403,125.5118,3.06,13,34,6.28,CN,1682029784
21,Zouérat,22.7187,-12.4521,25.15,21,78,4.55,MR,1682029785
22,São Pedro do Sul,-29.6206,-54.1789,11.36,50,0,1.8,BR,1682029785
23,Grytviken,-54.2811,-36.5092,1.98,83,100,3.91,GS,1682029785
24,Dvinskoy Bereznik,62.8551,42.7072,0.89,100,100,1.11,RU,1682029785
25,Westport,41.1415,-73.3579,20.37,41,0,3.09,US,1682029654
26,Susuman,62.7833,148.1667,-7.67,85,100,2.29,RU,1682029209
27,Lebu,-37.6167,-73.65,13.8,90,70,2.11,CL,1682029786
28,Saint Paul Harbor,57.79,-152.4072,8.73,61,0,5.14,US,1682029187
29,Bamboo Flat,11.7,92.7167,27.47,74,30,3.19,IN,1682029787
30,Utrik,11.2278,169.8474,26.22,78,100,6.49,MH,1682029193
31,Invercargill,-46.4,168.35,11.68,82,100,0.89,NZ,1682029788
32,Tura,25.5198,90.2201,21.98,90,59,3.78,IN,1682029285
33,Ribeira Grande,38.5167,-28.7,13.21,79,40,1.79,PT,1682029789
34,Nur-Sultan,51.1801,71.446,-8.03,73,0,4.0,KZ,1682029789
35,Ibarreta,-25.2144,-59.8585,17.94,49,0,2.79,AR,1682029789
36,Richards Bay,-28.783,32.0377,21.99,63,5,5.54,ZA,1682029790
37,Kalmunai,7.4167,81.8167,25.96,85,41,3.41,LK,1682029304
38,Acapulco de Juárez,16.8634,-99.8901,29.9,66,20,5.66,MX,1682029790
39,Aguadilla,18.4275,-67.1541,27.18,90,100,1.79,PR,1682029790
40,Morondava,-20.2833,44.2833,25.05,85,0,2.42,MG,1682029269
41,East Tamworth,-31.0894,150.9436,16.77,67,27,3.6,AU,1682029791
42,Altamira,-3.2033,-52.2064,25.05,100,40,0.0,BR,1682029791
43,Anadyr,64.75,177.4833,-8.72,86,0,2.0,RU,1682029791
44,Piti Village,13.4626,144.6933,28.03,87,89,7.2,GU,1682029779
45,Qaqortoq,60.7167,-46.0333,0.27,91,91,0.56,GL,1682029258
46,East London,-33.0153,27.9116,17.21,65,100,10.12,ZA,1682029792
47,El Porvenir,13.7617,-87.3458,32.63,27,100,3.38,HN,1682029792
48,Lihue,21.9789,-159.3672,26.58,68,0,3.09,US,1682029081
49,Puerto Ayora,-0.7393,-90.3518,29.98,87,80,2.24,EC,1682029793
50,Coyhaique,-45.5752,-72.0662,14.34,67,40,1.54,CL,1682029793
51,Torres,-29.3353,-49.7269,14.35,64,0,5.07,BR,1682029794
52,Albany,42.6001,-73.9662,18.29,30,80,2.22,US,1682029794
53,Lázaro Cárdenas,17.9583,-102.2,28.74,61,33,5.95,MX,1682029794
54,Alipur,29.3846,70.9116,23.82,11,0,2.4,PK,1682029795
55,Port-aux-Français,-49.35,70.2167,4.6,94,100,9.71,TF,1682029796
56,Portland,45.5234,-122.6762,8.88,91,100,4.63,US,1682029616
57,Saint-Philippe,-21.3585,55.7679,24.77,85,43,5.62,RE,1682029796
58,Iqaluit,63.7506,-68.5145,-3.15,86,100,2.57,CA,1682029796
59,Jutaí,-5.1833,-68.9,26.33,93,99,0.72,BR,1682029797
60,Burley,42.5357,-113.7928,8.98,25,20,4.63,US,1682029797
61,Nova Sintra,14.8667,-24.7167,19.7,79,94,11.37,CV,1682029797
62,Tazovsky,67.4667,78.7,-10.25,96,100,3.71,RU,1682029797
63,São João da Barra,-21.6403,-41.0511,24.05,66,93,8.68,BR,1682029214
64,Labrador City,52.9463,-66.9114,1.95,75,75,3.09,CA,1682029798
